block  confidence X1 Y1 X2 Y2 token
0 0 0.9977428913116455 245 206 337 238 While
0 0 0.6520651578903198 343 212 373 240 a
0 0 0.9998852014541626 378 204 411 242 is
0 0 0.9828600287437439 418 206 489 238 fixed
0 0 0.9996364116668701 499 208 536 240 at
0 0 0.9999866485595703 541 204 566 240 2
0 0 0.9732896089553833 572 199 642 242 A-1,
0 0 0.9998070597648621 655 206 680 242 B
0 0 0.9978938698768616 685 204 718 242 is
0 0 0.996921956539154 727 210 806 236 taken
0 0 0.9999643564224243 818 210 851 240 at
0 0 0.9999672174453735 861 206 914 240 the
0 0 0.9999756813049316 923 210 999 236 three
0 0 0.8738352656364441 1007 206 1130 238 different
0 0 0.99982750415802 1142 210 1230 236 values
0 0 0.9994007349014282 1238 204 1298 244 0.1,
0 0 0.6025753617286682 1304 204 1364 244 0.3,
0 0 0.998528003692627 1372 206 1431 240 and
0 0 0.9889692068099976 1441 206 1504 238 1.02
0 1 0.6694134473800659 197 262 227 307 A
0 1 0.5861738324165344 230 277 434 309 corresponding
0 1 0.9997665286064148 439 275 476 307 to
0 1 0.9115428328514099 478 277 625 309 increasing
0 1 0.9981245398521423 630 272 768 311 couplings
0 1 0.8648929595947266 773 272 891 305 between
0 1 0.9999901056289673 896 270 949 307 the
0 1 0.9996451139450073 956 272 984 305 R
0 1 0.9938220977783203 987 270 1045 305 and
0 1 0.674799382686615 1049 270 1079 311 @
0 1 0.9884817600250244 1079 272 1246 305 coordinates
0 1 0.9998661279678345 1250 270 1288 307 in
0 1 0.9997890591621399 1289 270 1343 307 the
0 1 0.9950240254402161 1344 275 1502 305 interaction
0 2 0.8824552297592163 199 343 297 375 region.
0 2 0.9982858300209045 305 335 368 375 Eis
0 2 0.9903809428215027 368 337 438 378 kept
0 2 0.9998722076416016 438 339 476 375 at
0 2 0.9991507530212402 478 339 527 373 0.5
0 2 0.42081373929977417 526 335 620 382 eV,ji
0 2 0.9999856948852539 620 339 659 375 at
0 2 0.9924072623252869 659 339 692 378 0,
0 2 0.8776870369911194 693 341 727 380 p
0 2 0.9981811046600342 723 343 760 375 at
0 2 0.9995331764221191 762 337 820 380 2/3
0 2 0.9989708662033081 821 343 896 375 amu,
0 2 0.9970376491546631 899 345 936 373 m
0 2 0.9998533725738525 936 339 974 375 at
0 2 0.9933163523674011 976 337 1034 380 1/2
0 2 0.9945072531700134 1034 341 1102 373 amu
0 2 0.569322943687439 1102 339 1162 373 and
0 2 0.9995244741439819 1165 343 1190 373 T
0 2 0.999330997467041 1188 337 1228 373 at
0 2 0.9999842643737793 1230 337 1251 371 1
0 2 0.9933449029922485 1255 333 1294 371 A.
0 2 0.9331008195877075 1299 337 1341 380 Ri
0 2 0.9948856234550476 1343 335 1404 375 and
0 2 0.7653814554214478 1409 339 1450 378 R2
0 2 0.9994472861289978 1454 345 1504 371 are
0 3 0.9991083741188049 197 403 268 438 both
0 3 0.9263771176338196 273 406 356 438 taken
0 3 0.9999558925628662 358 403 396 440 at
0 3 0.9999998807907104 398 403 420 438 4
0 3 0.9972772002220154 423 397 464 444 A,
0 3 0.997951090335846 468 403 576 442 beyond
0 3 0.9810170531272888 577 401 669 440 which
0 3 0.9928455948829651 672 403 752 444 V(R,
0 3 0.14349877834320068 748 406 783 444 @)
0 3 0.9997839331626892 790 408 820 440 is
0 3 0.9992609620094299 821 406 966 444 negligibly
0 3 0.9935204386711121 967 406 1047 438 small
0 3 0.9979444146156311 1052 403 1110 438 and
0 3 0.9998950958251953 1115 403 1168 438 the
0 3 0.9712861180305481 1167 406 1309 444 integrand
0 3 0.9999579191207886 1313 408 1349 440 in
0 3 0.9193870425224304 1349 403 1404 446 Eq.
0 3 0.9968758821487427 1409 403 1507 444 (11)is
0 4 0.9997765421867371 195 476 222 507 a
0 4 0.9970032572746277 224 476 346 502 constant
0 4 0.9916959404945374 350 470 388 507 of
0 4 0.9613872766494751 386 472 499 504 motion.
0 4 0.9999713897705078 509 470 572 504 The
0 4 0.9966069459915161 576 472 720 504 collisional
0 4 0.836062490940094 723 474 841 507 systems
0 4 0.9978868365287781 841 470 974 509 resulting
0 4 0.6489248275756836 976 470 1047 504 from
0 4 0.9998898506164551 1050 470 1104 504 the
0 4 0.9995531439781189 1104 472 1231 511 previous
0 4 0.984673261642456 1231 472 1397 511 parameters
0 4 0.991489052772522 1399 472 1504 504 involve
0 5 0.9990854263305664 194 539 293 577 strong
0 5 0.9872246980667114 293 541 483 573 interferences,
0 5 0.9979491829872131 488 543 524 575 as
0 5 0.9999178647994995 524 539 617 571 shown
0 5 0.9992066025733948 619 537 660 580 by
0 5 0.9999170303344727 660 537 713 571 the
0 5 0.9999006986618042 712 541 793 573 exact
0 5 0.5885128378868103 796 543 926 575 quantum
0 5 0.9854972958564758 928 539 1006 571 state
0 5 0.9928883910179138 1004 539 1191 571 distributions
0 5 0.7056049108505249 1190 530 1318 586 Pan(E)
0 5 0.5895788669586182 1316 543 1348 573 -
0 5 0.22195544838905334 1349 532 1502 580 Span(E)2
0 6 0.9907222986221313 195 603 335 644 displayed
0 6 0.9999006986618042 335 603 373 640 in
0 6 0.9975436329841614 373 601 434 644 Fig.
0 6 0.99937504529953 439 603 463 640 1
0 6 0.8819075226783752 466 601 546 642 (blue
