word1,word2,word3,word4
walk,walks,shuffle,shuffles
walk,walks,sit,sits
walk,walks,speak,speaks
walk,walks,think,thinks
walk,walks,vanish,vanishes
work,works,eat,eats
work,works,estimate,estimates
think,thinks,say,says
think,thinks,scream,screams
think,thinks,search,searches
think,thinks,see,sees
think,thinks,shuffle,shuffles
think,thinks,slow,slows
vanish,vanishes,work,works
vanish,vanishes,write,writes
vanish,vanishes,decrease,decreases
vanish,vanishes,describe,describes
vanish,vanishes,eat,eats
sing,sings,enhance,enhances
sing,sings,estimate,estimates
sing,sings,find,finds
sing,sings,generate,generates
sing,sings,go,goes
sing,sings,implement,implements
sing,sings,increase,increases
sing,sings,listen,listens
sing,sings,play,plays
sing,sings,provide,provides
sing,sings,say,says
sing,sings,search,searches
sing,sings,see,sees
sing,sings,shuffle,shuffles
sit,sits,slow,slows
sit,sits,speak,speaks
sit,sits,talk,talks
sit,sits,think,thinks
sit,sits,vanish,vanishes
sit,sits,walk,walks
sit,sits,work,works
sit,sits,write,writes
sit,sits,eat,eats
sit,sits,enhance,enhances
sit,sits,estimate,estimates
sit,sits,find,finds
sit,sits,generate,generates
sit,sits,go,goes
say,says,play,plays
say,says,provide,provides
scream,screams,search,searches
scream,screams,see,sees
scream,screams,shuffle,shuffles
play,plays,go,goes
play,plays,implement,implements
play,plays,increase,increases
predict,predicts,provide,provides
predict,predicts,say,says
predict,predicts,scream,screams
machine,machines,goat,goats
machine,machines,lion,lions
mango,mangoes,man,men
mango,mangoes,onion,onions
man,men,goat,goats
man,men,lion,lions
man,men,machine,machines
man,men,mango,mangoes
melon,melons,onion,onions
hand,hands,elephant,elephants
hand,hands,eye,eyes
hand,hands,goat,goats
horse,horses,lion,lions
horse,horses,mango,mangoes
horse,horses,man,men
finger,fingers,dream,dreams
finger,fingers,elephant,elephants
goat,goats,hand,hands
child,children,machine,machines
child,children,mango,mangoes
child,children,melon,melons
car,cars,bottle,bottles
car,cars,building,buildings
vanishing,vanished,spending,spent
vanishing,vanished,swimming,swam
vanishing,vanished,taking,took
vanishing,vanished,thinking,thought
walking,walked,dancing,danced
walking,walked,decreasing,decreased
walking,walked,describing,described
taking,took,singing,sang
taking,took,sitting,sat
taking,took,slowing,slowed
taking,took,spending,spent
taking,took,swimming,swam
thinking,thought,writing,wrote
thinking,thought,dancing,danced
thinking,thought,decreasing,decreased
thinking,thought,describing,described
swimming,swam,sleeping,slept
swimming,swam,slowing,slowed
swimming,swam,spending,spent
taking,took,thinking,thought
taking,took,vanishing,vanished
spending,spent,sitting,sat
spending,spent,slowing,slowed
striking,struck,swimming,swam
striking,struck,taking,took
striking,struck,thinking,thought
sleeping,slept,seeing,saw
sleeping,slept,selling,sold
sleeping,slept,shrinking,shrank
